State of University,Name of University,State of Regional Center,District of Regional Center,Level,Total Enrolment Male,Total Enrolment Female,Total Enrolment
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Sivaganga,Certificate,5,8,13
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Sivaganga,Integrated,12,1,13
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Sivaganga,Post Graduate,563,1126,1689
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Sivaganga,Under Graduate,568,1306,1874
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thanjavur,Post Graduate,279,458,737
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thanjavur,PG Diploma,2,3,5
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thanjavur,Under Graduate,328,514,842
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thanjavur,Integrated,9,2,11
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thanjavur,Certificate,4,6,10
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Theni,Post Graduate,72,106,178
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Theni,PG Diploma,1,1,2
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Theni,Under Graduate,158,225,383
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thiruvallur,Post Graduate,36,23,59
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thiruvallur,Under Graduate,81,67,148
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thiruvallur,PG Diploma,2,1,3
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thiruvarur,Under Graduate,262,564,826
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thiruvarur,Certificate,0,4,4
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thiruvarur,Integrated,10,6,16
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thiruvarur,PG Diploma,4,1,5
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thiruvarur,Post Graduate,132,283,415
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thoothukkudi,Integrated,16,1,17
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thoothukkudi,Post Graduate,242,381,623
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thoothukkudi,Certificate,4,11,15
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thoothukkudi,Under Graduate,554,854,1408
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Thoothukkudi,PG Diploma,6,5,11
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tiruchirappalli,Certificate,8,14,22
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tiruchirappalli,Post Graduate,511,515,1026
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tiruchirappalli,Integrated,17,1,18
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tiruchirappalli,PG Diploma,7,3,10
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tiruchirappalli,Under Graduate,607,796,1403
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tirunelveli,Post Graduate,437,589,1026
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tirunelveli,Integrated,15,3,18
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tirunelveli,Under Graduate,860,1659,2519
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tirunelveli,PG Diploma,2,4,6
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tirunelveli,Certificate,12,36,48
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tiruppur,Certificate,5,30,35
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tiruppur,Under Graduate,541,1097,1638
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tiruppur,Integrated,16,5,21
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tiruppur,PG Diploma,2,2,4
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tiruppur,Post Graduate,205,318,523
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tiruvannamalai,Post Graduate,88,55,143
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tiruvannamalai,Under Graduate,247,186,433
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tiruvannamalai,Certificate,5,5,10
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Tiruvannamalai,PG Diploma,0,1,1
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Vellore,PG Diploma,13,3,16
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Vellore,Integrated,10,4,14
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Vellore,Post Graduate,451,483,934
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Vellore,Certificate,5,3,8
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Vellore,Under Graduate,1049,1134,2183
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Viluppuram,PG Diploma,1,0,1
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Viluppuram,Under Graduate,147,175,322
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Viluppuram,Integrated,4,0,4
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Viluppuram,Post Graduate,120,89,209
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Viluppuram,Certificate,1,0,1
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Virudhunagar,PG Diploma,4,6,10
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Virudhunagar,Post Graduate,141,249,390
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Virudhunagar,Under Graduate,300,526,826
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Virudhunagar,Integrated,3,1,4
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tamil Nadu,Virudhunagar,Certificate,2,14,16
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Telangana,Hyderabad,Under Graduate,250,73,323
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Telangana,Hyderabad,Post Graduate,386,134,520
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Telangana,Hyderabad,Certificate,0,3,3
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Telangana,Hyderabad,PG Diploma,22,8,30
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Telangana,Karimnagar,PG Diploma,5,0,5
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Telangana,Karimnagar,Post Graduate,216,70,286
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Telangana,Karimnagar,Certificate,3,0,3
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Telangana,Karimnagar,Under Graduate,182,79,261
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Telangana,Nalgonda,Under Graduate,44,22,66
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Telangana,Nalgonda,Post Graduate,37,17,54
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Telangana,Nizamabad,PG Diploma,2,0,2
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Telangana,Nizamabad,Under Graduate,122,32,154
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Telangana,Nizamabad,Post Graduate,201,96,297
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tripura,West Tripura,PG Diploma,2,2,4
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tripura,West Tripura,Under Graduate,70,12,82
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tripura,West Tripura,Post Graduate,29,9,38
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Tripura,West Tripura,Certificate,1,0,1
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Uttar Pradesh,Ghaziabad,Post Graduate,10,4,14
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Uttar Pradesh,Ghaziabad,Under Graduate,14,5,19
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Uttar Pradesh,Ghaziabad,PG Diploma,2,0,2
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Uttar Pradesh,Lucknow,Post Graduate,184,60,244
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Uttar Pradesh,Lucknow,PG Diploma,28,4,32
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Uttar Pradesh,Lucknow,Under Graduate,86,18,104
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Uttar Pradesh,Lucknow,Certificate,1,0,1
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Uttar Pradesh,Varanasi,Under Graduate,28,11,39
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Uttar Pradesh,Varanasi,Post Graduate,25,15,40
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Uttrakhand,Dehradun,Post Graduate,83,66,149
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Uttrakhand,Dehradun,PG Diploma,7,3,10
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Uttrakhand,Dehradun,Certificate,5,0,5
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Uttrakhand,Dehradun,Under Graduate,29,21,50
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",West Bengal,Barddhaman,Post Graduate,16,5,21
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",West Bengal,Barddhaman,PG Diploma,3,0,3
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",West Bengal,Barddhaman,Under Graduate,15,5,20
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",West Bengal,Kolkata,PG Diploma,0,1,1
Tamil Nadu,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",West Bengal,Kolkata,Post Graduate,8,6,14
Tamil Nadu,"Annamalai University, Annamalainagar (Id: U-0443)",Tamil Nadu,Cuddalore,Certificate,4386,3546,7932
Tamil Nadu,"Annamalai University, Annamalainagar (Id: U-0443)",Tamil Nadu,Cuddalore,Under Graduate,80412,97408,177820
Tamil Nadu,"Annamalai University, Annamalainagar (Id: U-0443)",Tamil Nadu,Cuddalore,Post Graduate,44359,64341,108700
Tamil Nadu,"Annamalai University, Annamalainagar (Id: U-0443)",Tamil Nadu,Cuddalore,PG Diploma,3501,1167,4668
Tamil Nadu,"Annamalai University, Annamalainagar (Id: U-0443)",Tamil Nadu,Cuddalore,Diploma,4512,1800,6312
Tamil Nadu,"Anna University, Chennai (Id: U-0439)",Tamil Nadu,Chennai,Post Graduate,1649,1286,2935
Tamil Nadu,"Anna University, Chennai (Id: U-0439)",Tamil Nadu,Coimbatore,Post Graduate,66,43,109
Tamil Nadu,"Anna University, Chennai (Id: U-0439)",Tamil Nadu,Madurai,Post Graduate,22,18,40
Tamil Nadu,"Anna University, Chennai (Id: U-0439)",Tamil Nadu,Tiruchirappalli,Post Graduate,50,22,72
Tamil Nadu,"Anna University, Chennai (Id: U-0439)",Tamil Nadu,Vellore,Post Graduate,31,22,53
Tamil Nadu,"Bharathiar University, Coimbatore (Id: U-0447)",Tamil Nadu,Coimbatore,Post Graduate,19150,19190,38340
Tamil Nadu,"Bharathiar University, Coimbatore (Id: U-0447)",Tamil Nadu,Coimbatore,Diploma,871,1299,2170
Tamil Nadu,"Bharathiar University, Coimbatore (Id: U-0447)",Tamil Nadu,Coimbatore,PG Diploma,184,260,444
Tamil Nadu,"Bharathiar University, Coimbatore (Id: U-0447)",Tamil Nadu,Coimbatore,Under Graduate,12406,10304,22710
Tamil Nadu,Dakshina Bharat Hindi Prachar Sabha (Id: U-0452),Karnataka,Dharwad,Post Graduate,1091,1306,2397
Tamil Nadu,Dakshina Bharat Hindi Prachar Sabha (Id: U-0452),Kerala,Ernakulam,Post Graduate,40,193,233
Tamil Nadu,Dakshina Bharat Hindi Prachar Sabha (Id: U-0452),Tamil Nadu,Chennai,Post Graduate,6,105,111
Tamil Nadu,Dakshina Bharat Hindi Prachar Sabha (Id: U-0452),Telangana,Hyderabad,Post Graduate,106,100,206
Tamil Nadu,"Madras University, Chennai (Id: U-0462)",Tamil Nadu,Chennai,Post Graduate,3364,4065,7429
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Andaman & Nicobar Islands,North & Middle Andaman,Post Graduate,24,10,34
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Andaman & Nicobar Islands,North & Middle Andaman,Under Graduate,12,1,13
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Andaman & Nicobar Islands,North & Middle Andaman,Certificate,0,0,0
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Assam,Dibrugarh,PG Diploma,26,0,26
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Assam,Dibrugarh,Post Graduate,6,4,10
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Bihar,Patna,PG Diploma,84,0,84
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Bihar,Patna,Post Graduate,53,17,70
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Dadra & Nagar Haveli,Dadra & Nagar Haveli,Under Graduate,7,2,9
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Dadra & Nagar Haveli,Dadra & Nagar Haveli,Post Graduate,25,8,33
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Delhi,New Delhi,Diploma,4,0,4
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Delhi,New Delhi,Post Graduate,282,63,345
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Delhi,New Delhi,Under Graduate,187,36,223
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Delhi,New Delhi,PG Diploma,538,0,538
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Goa,North Goa,Post Graduate,24,24,48
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Goa,North Goa,PG Diploma,62,0,62
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Goa,North Goa,Under Graduate,33,12,45
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Gujarat,Ahmadabad,Under Graduate,185,37,222
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Gujarat,Ahmadabad,Post Graduate,2222,313,2535
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Gujarat,Ahmadabad,PG Diploma,2070,0,2070
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Gujarat,Ahmadabad,Diploma,5,0,5
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Haryana,Gurgaon,Under Graduate,360,69,429
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Haryana,Gurgaon,Post Graduate,151,61,212
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Haryana,Gurgaon,PG Diploma,683,0,683
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Himachal Pradesh,Solan,Post Graduate,59,26,85
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Himachal Pradesh,Solan,Under Graduate,42,13,55
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Himachal Pradesh,Solan,PG Diploma,250,0,250
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Jammu and Kashmir,Jammu,Post Graduate,8,0,8
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Jammu and Kashmir,Jammu,Under Graduate,14,0,14
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Jharkhand,Ranchi,Post Graduate,54,15,69
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Jharkhand,Ranchi,Certificate,1,0,1
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Jharkhand,Ranchi,PG Diploma,97,0,97
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Jharkhand,Ranchi,Under Graduate,48,16,64
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Karnataka,Bangalore,Under Graduate,391,124,515
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Karnataka,Bangalore,Diploma,1,0,1
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Karnataka,Bangalore,Post Graduate,419,135,554
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Karnataka,Bangalore,PG Diploma,20,0,20
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Karnataka,Bangalore,Certificate,1,0,1
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Kerala,Thiruvananthapuram,Certificate,40,0,40
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Kerala,Thiruvananthapuram,Post Graduate,2638,2010,4648
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Kerala,Thiruvananthapuram,Under Graduate,544,112,656
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Kerala,Thiruvananthapuram,PG Diploma,9231,0,9231
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Kerala,Thiruvananthapuram,Diploma,16,0,16
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Madhya Pradesh,Gwalior,Under Graduate,2,0,2
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Madhya Pradesh,Gwalior,Diploma,0,0,0
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Madhya Pradesh,Gwalior,PG Diploma,27,0,27
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Madhya Pradesh,Gwalior,Post Graduate,10,0,10
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Maharashtra,Mumbai,Certificate,1,0,1
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Maharashtra,Mumbai,Under Graduate,651,104,755
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Maharashtra,Mumbai,PG Diploma,1832,0,1832
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Maharashtra,Mumbai,Post Graduate,1123,291,1414
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Maharashtra,Mumbai,Diploma,16,0,16
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Meghalaya,Ribhoi,PG Diploma,83,0,83
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Meghalaya,Ribhoi,Under Graduate,2,0,2
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Meghalaya,Ribhoi,Post Graduate,41,20,61
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Mizoram,Aizawl,PG Diploma,38,0,38
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Mizoram,Aizawl,Post Graduate,9,5,14
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Odisha,Cuttack,PG Diploma,0,0,0
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Odisha,Cuttack,Diploma,0,0,0
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Odisha,Cuttack,Under Graduate,27,4,31
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Odisha,Cuttack,Post Graduate,33,14,47
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Puducherry,Puducherry,Post Graduate,26,18,44
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Puducherry,Puducherry,Under Graduate,12,6,18
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Punjab,Jalandhar,Under Graduate,292,119,411
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Punjab,Jalandhar,Diploma,0,0,0
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Punjab,Jalandhar,Post Graduate,672,334,1006
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Punjab,Jalandhar,Certificate,0,0,0
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Rajasthan,Jaipur,PG Diploma,409,0,409
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Rajasthan,Jaipur,Diploma,0,0,0
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Rajasthan,Jaipur,Under Graduate,207,21,228
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Rajasthan,Jaipur,Post Graduate,211,27,238
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Sikkim,South District,Under Graduate,0,2,2
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Sikkim,South District,Post Graduate,38,31,69
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Tamil Nadu,Chennai,Diploma,106,0,106
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Tamil Nadu,Chennai,Post Graduate,7883,3312,11195
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Tamil Nadu,Chennai,PG Diploma,545,0,545
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Tamil Nadu,Chennai,Certificate,186,0,186
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Tamil Nadu,Chennai,Under Graduate,9625,7598,17223
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Telangana,Hyderabad,Under Graduate,293,52,345
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Telangana,Hyderabad,Certificate,2,0,2
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Telangana,Hyderabad,Post Graduate,668,213,881
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Telangana,Hyderabad,PG Diploma,941,0,941
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Tripura,South Tripura,Post Graduate,29,10,39
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Tripura,South Tripura,Under Graduate,53,8,61
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Uttar Pradesh,Lucknow,Certificate,0,0,0
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Uttar Pradesh,Lucknow,PG Diploma,133,0,133
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Uttar Pradesh,Lucknow,Post Graduate,66,6,72
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Uttar Pradesh,Lucknow,Diploma,0,0,0
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Uttar Pradesh,Lucknow,Under Graduate,60,5,65
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Uttrakhand,Dehradun,Diploma,0,0,0
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",Uttrakhand,Dehradun,Post Graduate,1,0,1
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",West Bengal,Koch Bihar,Post Graduate,100,24,124
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",West Bengal,Koch Bihar,Certificate,0,0,0
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",West Bengal,Koch Bihar,Diploma,1,0,1
Tamil Nadu,"Madurai Kamraj University, Madurai (Id: U-0463)",West Bengal,Koch Bihar,Under Graduate,64,17,81
Tamil Nadu,"Manonmaniam Sundaranar University, Tirunelveli (Id: U-0464)",Tamil Nadu,Tirunelveli,Post Graduate,0,0,0
Tamil Nadu,"Manonmaniam Sundaranar University, Tirunelveli (Id: U-0464)",Tamil Nadu,Tirunelveli,PG Diploma,0,0,0
Tamil Nadu,"Manonmaniam Sundaranar University, Tirunelveli (Id: U-0464)",Tamil Nadu,Tirunelveli,Under Graduate,0,0,0
Tamil Nadu,"Meenakshri Academy of Higher Education and Research, Chennai (Id: U-0465)",Tamil Nadu,Chennai,Post Graduate,101,80,181
